Crash ID,County,Crash Death Count,Driver Blood Alcohol Content Test Result,Unit Death Count,Vehicle Model Year,Person Age
16848213,TRAVIS,0,No Data,0,2018,59
16848213,TRAVIS,0,No Data,0,2018,43
16848995,NAVARRO,0,0.094,0,2008,23
16849132,PECOS,0,0.18,0,2019,45
16849132,PECOS,0,No Data,0,2011,27
16849237,LUBBOCK,0,No Data,0,2014,No Data
16849237,LUBBOCK,0,No Data,0,2014,37
16849335,BOSQUE,0,0.168,0,2003,65
16849347,EL PASO,0,No Data,0,2004,28
16849557,BEXAR,0,0.189,0,2013,42
16849557,BEXAR,0,No Data,0,2018,76
16849906,GALVESTON,0,No Data,0,1999,55
16850346,JACK,0,No Data,0,2019,43
16850769,TARRANT,0,0.129,0,2016,37
16851078,POTTER,0,No Data,0,2014,32
16851078,POTTER,0,No Data,0,2014,46
16851092,MONTGOMERY,0,0.139,0,2014,34
16851092,MONTGOMERY,0,No Data,0,No Data,40
16851567,WILLIAMSON,0,No Data,0,2011,36
16851567,WILLIAMSON,0,No Data,0,2011,54
16851567,WILLIAMSON,0,No Data,0,2012,56
16852222,KERR,0,0.008,0,1999,64
16852222,KERR,0,No Data,0,2017,30
16852276,MIDLAND,0,No Data,0,2014,55
16852276,MIDLAND,0,0.109,0,2013,25
16852373,GALVESTON,0,No Data,0,2014,40
16853008,HIDALGO,0,0.173,0,2011,54
16853008,HIDALGO,0,No Data,0,2013,20
16853008,HIDALGO,0,No Data,0,2013,20
16853008,HIDALGO,0,No Data,0,2013,18
16853598,BEXAR,1,0.261,1,2010,21
16853635,BEXAR,0,No Data,0,1999,24
16853635,BEXAR,0,No Data,0,2014,23
16854120,TARRANT,0,0.199,0,2016,27
16854120,TARRANT,0,No Data,0,2015,26
16854150,TAYLOR,1,0,1,2009,28
16854150,TAYLOR,1,0,0,2019,53
16854150,TAYLOR,1,0.045,0,2006,38
16854515,NUECES,0,0.123,0,2006,26
16855221,LIBERTY,0,No Data,0,2015,64
16855221,LIBERTY,0,No Data,0,2013,26
16856121,DALLAS,1,No Data,0,No Data,No Data
16856121,DALLAS,1,No Data,1,No Data,36
16857000,EL PASO,0,No Data,0,No Data,No Data
16857000,EL PASO,0,No Data,0,2013,42
16857000,EL PASO,0,No Data,0,2013,37
16857000,EL PASO,0,No Data,0,2016,22
16858344,HARRIS,0,0.119,0,2009,55
16858344,HARRIS,0,No Data,0,2002,21
16858344,HARRIS,0,No Data,0,2002,19
16858344,HARRIS,0,No Data,0,2002,18
16858344,HARRIS,0,No Data,0,2002,18
16858344,HARRIS,0,No Data,0,2002,18
16860079,ECTOR,0,0.118,0,2016,26
16860492,GUADALUPE,0,No Data,0,2002,33
16860492,GUADALUPE,0,No Data,0,2015,30
16860641,TARRANT,0,No Data,0,1997,37
16860884,DALLAS,0,0.16,0,2007,48
16860884,DALLAS,0,No Data,0,2009,64
16860884,DALLAS,0,No Data,0,2007,68
16863177,LIBERTY,0,No Data,0,2001,42
16863177,LIBERTY,0,No Data,0,2001,24
16863177,LIBERTY,0,No Data,0,2001,24
16863237,VICTORIA,0,No Data,0,2005,31
16864842,HIDALGO,0,No Data,0,2012,24
16864842,HIDALGO,0,No Data,0,2012,23
16864842,HIDALGO,0,No Data,0,2012,No Data
16869154,HIDALGO,0,No Data,0,2008,19
16869154,HIDALGO,0,No Data,0,2008,24
16874019,HARRIS,0,0.22,0,1999,24
