Crash ID,Crash Time,Day of Week
16871101,1305,SUNDAY
16871626,345,SUNDAY
16872185,10,SUNDAY
16872497,238,SUNDAY
16873455,49,SUNDAY
16874110,155,SUNDAY
16874396,218,SUNDAY
16875470,1825,SUNDAY
16875572,300,SUNDAY
16876039,333,SUNDAY
16876565,20,SUNDAY
16877315,1,SUNDAY
16879674,7,SUNDAY
16919051,151,SUNDAY
16919111,1824,SUNDAY
16987179,226,SUNDAY
16987194,2033,SUNDAY
16988558,539,SUNDAY
17067851,39,SUNDAY
17124072,1741,SUNDAY
17265562,2020,SUNDAY
17462923,39,SUNDAY
16856979,30,MONDAY
16857976,1058,MONDAY
16858321,215,MONDAY
16858331,2015,MONDAY
16858370,1700,MONDAY
16858432,2057,MONDAY
16858774,1256,MONDAY
16858801,2304,MONDAY
16859696,40,MONDAY
16860231,2032,MONDAY
16860242,2358,MONDAY
16860334,1,MONDAY
16860335,0,MONDAY
16860336,3,MONDAY
16860385,340,MONDAY
16861233,213,MONDAY
16861237,815,MONDAY
16861256,2251,MONDAY
16861360,2248,MONDAY
16862351,24,MONDAY
16862394,2343,MONDAY
16862583,2242,MONDAY
16863007,1636,MONDAY
16863450,143,MONDAY
16863548,2026,MONDAY
16863697,2240,MONDAY
16864067,322,MONDAY
16864849,800,MONDAY
16866936,640,MONDAY
16868603,1742,MONDAY
16869045,1449,MONDAY
16869952,1255,MONDAY
16872310,2200,MONDAY
16872371,157,MONDAY
16872487,2104,MONDAY
16872962,3,MONDAY
